track_id,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
0LFDKqXO5cxL5HNKjcC2Pw,217533,42,0.225,0.876,0.566,4.38e-06,0.102,-8.95,0.198,100.05,4,0
0D3bX53KP5VsPWLjCOU2fA,218680,60,0.301,0.752,0.583,0.0,0.0871,-5.994,0.372,92.599,4,0
1z9NdleGpS9bTf0mUBVQn5,154887,13,0.213,0.64,0.822,5.75e-06,0.13,-4.982,0.417,128.679,4,0
7jrfqHvcRvJluOlCGJU54G,188307,54,0.143,0.829,0.433,0.00252,0.13,-11.828,0.174,130.051,4,0
2d7foPk9CgoWvfbLNtnjRG,262874,39,0.41,0.64,0.614,2.63e-05,0.107,-7.497,0.14,89.729,4,0
22bFpKj7SJiBa8wOScCABk,210285,35,0.00976,0.692,0.521,0.00728,0.179,-10.978,0.055,104.98,4,0
025a1cjjfj5YZ5sSMCLkXG,139428,24,0.0582,0.722,0.487,0.000452,0.0968,-7.385,0.328,132.743,5,0
5sICnSGfWkwVmIeD9WZ2Jk,136626,31,0.18,0.634,0.529,1.63e-06,0.106,-6.727,0.34,192.149,4,0
11RIJRbBfyLlJut96itSFd,199521,68,0.345,0.836,0.614,9.86e-05,0.088,-4.543,0.311,101.97,4,0
7htefGsTHusmmM6jbBJZ1R,172041,38,0.515,0.72,0.478,0.000584,0.618,-10.588,0.335,103.432,4,0
6l5WDlZzjAXWEA47969TXI,298997,53,0.00167,0.863,0.449,0.0235,0.0585,-12.521,0.0622,112.043,4,0
2Jy4EdqIZswDZvVDh5dx3A,234026,62,0.173,0.561,0.722,4.86e-05,0.175,-6.437,0.068,103.099,4,0
7hXYBAMe5r7AyRcmOjSN2Z,226290,40,0.3,0.799,0.476,0.0,0.101,-10.613,0.222,139.952,4,0
3Xfwu3xtPqmJ4nM4jpBm8O,169411,71,0.528,0.712,0.497,2.65e-05,0.125,-8.106,0.431,128.385,5,0
